CNPJ;Farmácia;Endereço;Bairro;Cidade;Estado;Latitude;Longitude;EnderecoCompleto
9,13964E+12;DROGARIA BARREIRO LTDA - ME;DESEMBARGADOR RIBEIRO DA LUZ;BARREIRO;Belo Horizonte;MG;-19,9738684;-44,0169993;DESEMBARGADOR RIBEIRO DA LUZ, BARREIRO, Belo Horizonte, MG, Brasil
5,82302E+12;DROGARIA BELA VITORIA LTDA;DOS BORGES;JARDIM VITORIA;Belo Horizonte;MG;-19,8412697;-43,8775352;DOS BORGES, JARDIM VITORIA, Belo Horizonte, MG, Brasil
1,4682E+13;DROGARIA BETEL LTDA - ME;MARIA DA PAZ MAIA;JARDIM DOS COMERCIARIOS (VENDA NOVA);Belo Horizonte;MG;-19,7880572;-43,976243;MARIA DA PAZ MAIA, JARDIM DOS COMERCIARIOS (VENDA NOVA), Belo Horizonte, MG, Brasil
1,91629E+13;DROGARIA CACHOEIRINHA LTDA - EPP;DESCALVADO;RENASCENCA;Belo Horizonte;MG;-19,888174;-43,9428593;DESCALVADO, RENASCENCA, Belo Horizonte, MG, Brasil
1,72856E+12;DROGARIA CAIXETA NOGUEIRA LTDA;FLOR D'AGUA;JARDIM ALVORADA;Belo Horizonte;MG;-19,8932796;-43,9897025;FLOR D'AGUA, JARDIM ALVORADA, Belo Horizonte, MG, Brasil
5,86189E+12;DROGARIA CAMAGA LTDA;ESTANCIA;NOVA VISTA;Belo Horizonte;MG;-19,8867824;-43,8966672;ESTANCIA, NOVA VISTA, Belo Horizonte, MG, Brasil
1,06677E+13;DROGARIA CAMPOS E SIMOES LTDA;AUGUSTO DOS ANJOS;RIO BRANCO;Belo Horizonte;MG;-19,8182833;-43,9854839;AUGUSTO DOS ANJOS, RIO BRANCO, Belo Horizonte, MG, Brasil
1,3318E+13;DROGARIA CAMPOS SALES LTDA - ME;CAMPOS SALES;NOVA SUISSA;Belo Horizonte;MG;-19,9274167;-43,9771468;CAMPOS SALES, NOVA SUISSA, Belo Horizonte, MG, Brasil
3,85612E+12;DROGARIA CANDI & CUNHA LTDA ME;DAVID FONSECA;MILIONARIOS (BARREIRO);Belo Horizonte;MG;-19,9805056;-44,0018307;DAVID FONSECA, MILIONARIOS (BARREIRO), Belo Horizonte, MG, Brasil
2,02682E+13;DROGARIA CAPITAL EIRELI - EPP;PRUDENTE DE MORAIS;CIDADE JARDIM;Belo Horizonte;MG;-19,937306;-43,9472329;PRUDENTE DE MORAIS, CIDADE JARDIM, Belo Horizonte, MG, Brasil
